name,alies,classification,image,favorite_count
エルダー,セイヨウニワトコ,4,elderflower.jpg,0
オレガノ,ハナハッカ,2,oregano.jpg,0
カモミール,カミツレ,2,chamomile.jpg,0
カレンデュラ,キンセンカ,2,calendula.jpg,0
クレソン,ウォータークレス,2,watercress.jpg,0
コリアンダー,コエンドロ,1,coriander.jpg,0
セージ,ヤクヨウサルビア,2,sage.jpg,0
タイム,タチジャコウソウ,3,thyme.jpg,0
タラゴン,カワラヨモギ,2,tarragon.jpg,0
ダンデライオン,セイヨウタンポポ,2,dandelion.jpg,0
チャービル,ウイキョウゼリ,1,chervil.jpg,0
ナスタチウム,キンレンカ,1,nasturtium.jpg,0
バジル,メボウキ,1,basil.jpg,0
パセリ,オランダゼリ,1,parsley.jpg,0
フェンネル,ウイキョウ,2,fennel.jpg,0
ミント,ハッカ,2,mint.jpg,0
ラベンダー,クンイソウ,3,lavender.jpg,0
ルバーブ,ショクヨウダイオウ,2,rhubarb.jpg,0
レモングラス,レモンガヤ,2,lemongrass.jpg,0
ローズマリー,マンネンロウ,3,rosemary.jpg,0
ローリエ,ゲッケイジュ,4,laurel.jpg,0
